150,	0.60,	56.25,	1.24,	1.85
151,	0.69,	65.62,	1.34,	1.91
152,	0.62,	59.38,	1.54,	2.06
153,	0.55,	71.88,	1.45,	1.69
154,	0.59,	65.62,	1.17,	2.21
155,	0.79,	46.88,	1.25,	1.78
156,	0.74,	56.25,	1.34,	1.84
157,	0.57,	65.62,	1.46,	1.87
158,	0.70,	65.62,	1.50,	1.90
159,	0.68,	65.62,	1.58,	1.83
160,	0.91,	50.00,	1.69,	1.66
161,	0.51,	68.75,	1.52,	1.47
162,	0.72,	56.25,	1.55,	1.99
163,	0.72,	62.50,	1.41,	1.99
164,	0.75,	62.50,	1.70,	1.78
165,	0.71,	62.50,	1.50,	1.74
166,	0.62,	68.75,	1.37,	1.59
167,	0.63,	71.88,	1.33,	1.73
168,	0.64,	62.50,	1.43,	1.51
169,	0.62,	68.75,	1.20,	1.85
170,	1.01,	53.12,	1.23,	1.67
171,	0.71,	65.62,	1.48,	1.53
172,	0.74,	50.00,	1.52,	1.52
173,	0.77,	62.50,	1.50,	1.24
174,	0.66,	68.75,	1.46,	1.58
175,	0.76,	65.62,	1.52,	1.42
176,	0.75,	59.38,	1.49,	1.38
177,	0.55,	65.62,	1.33,	1.69
178,	0.95,	53.12,	1.36,	1.18
179,	0.59,	59.38,	1.44,	1.55
180,	0.74,	59.38,	1.46,	1.51
181,	0.65,	62.50,	1.32,	1.13
182,	0.83,	56.25,	1.47,	1.42
183,	0.52,	71.88,	1.45,	1.30
184,	0.66,	65.62,	1.27,	1.28
185,	0.79,	59.38,	1.10,	1.00
186,	0.76,	65.62,	1.50,	0.93
187,	0.72,	65.62,	1.46,	1.49
188,	0.56,	65.62,	1.43,	0.85
189,	0.68,	68.75,	1.07,	1.12
190,	0.82,	59.38,	1.13,	1.11
191,	0.58,	65.62,	1.16,	1.03
192,	0.49,	65.62,	1.52,	0.94
193,	0.70,	59.38,	1.04,	1.01
194,	0.74,	50.00,	1.39,	1.08
195,	0.60,	68.75,	1.12,	1.11
196,	0.65,	71.88,	1.21,	0.75
197,	0.69,	59.38,	1.61,	0.92
198,	0.62,	71.88,	1.21,	1.33
199,	0.76,	56.25,	1.35,	0.81
200,	0.53,	68.75,	1.34,	0.86
201,	0.40,	75.00,	0.96,	0.90
202,	0.73,	68.75,	1.07,	0.59
203,	0.89,	53.12,	1.30,	0.57
204,	0.64,	59.38,	1.52,	0.93
205,	0.57,	68.75,	1.22,	0.79
206,	0.77,	62.50,	1.00,	1.06
207,	0.65,	65.62,	1.10,	0.84
208,	0.75,	75.00,	1.10,	0.77
209,	0.83,	59.38,	1.04,	0.63
210,	0.59,	65.62,	1.31,	0.96
211,	0.44,	75.00,	1.15,	0.55
212,	0.54,	68.75,	1.24,	0.60
213,	0.50,	75.00,	1.17,	0.92
214,	0.57,	68.75,	1.32,	0.50
215,	0.50,	75.00,	0.96,	0.62
216,	0.77,	56.25,	1.32,	0.64
217,	0.48,	75.00,	1.10,	0.51
218,	0.57,	68.75,	1.19,	0.47
219,	0.66,	65.62,	1.11,	0.94
220,	0.56,	68.75,	1.30,	0.79
221,	0.82,	53.12,	1.16,	0.66
222,	0.67,	62.50,	1.35,	0.53
223,	0.72,	56.25,	1.54,	0.85
224,	0.64,	65.62,	1.09,	0.61
225,	0.72,	59.38,	1.36,	0.76
226,	0.63,	71.88,	1.29,	0.47
227,	0.67,	65.62,	1.31,	0.48
228,	0.93,	46.88,	1.14,	0.38
229,	0.63,	75.00,	1.11,	0.46
230,	0.76,	59.38,	1.20,	0.28
231,	0.58,	71.88,	1.07,	0.41
232,	0.80,	53.12,	1.19,	0.50
233,	0.69,	65.62,	1.23,	0.27
234,	0.67,	65.62,	1.21,	0.32
235,	0.53,	68.75,	1.26,	0.32
236,	0.74,	53.12,	1.33,	0.40
237,	0.59,	71.88,	1.22,	0.55
238,	0.64,	62.50,	1.29,	0.53
239,	0.63,	62.50,	1.02,	0.70
240,	0.75,	56.25,	1.34,	0.83
241,	0.78,	62.50,	1.11,	0.45
242,	0.68,	59.38,	1.28,	1.23
243,	0.74,	62.50,	1.35,	0.31
244,	0.62,	68.75,	1.52,	0.46
